Framework,Benchmark,Data Generator,Iteration,ExecutionTime
DCStats,matmul,matmul_dense_small,1,9.136221209002542
DCStats,matmul,matmul_dense_small,2,8.692713124997681
DCStats,matmul,matmul_dense_small,3,8.797088875013287
DCStats,matmul,matmul_dense_small,4,6.251431832992239
DCStats,matmul,matmul_dense_small,5,6.308169875002932
