kernel,dataset,model,log2_ratio
SpGEMM,ca-GrQc,Database,0.0
SpGEMM,ca-GrQc,Blocked-Dense,8.965784284662087
SpGEMM,ca-GrQc,Blocked-Uniform,-2.321928094887362
SpGEMM,ca-GrQc,Blocked-DC,2.070389327891398
SpGEMM,ca-GrQc,Blocked-Database,0.8479969065549501
SpGEMM,ca-HepTh,Dense,10.287712379549449
SpGEMM,ca-HepTh,Uniform,-1.0
SpGEMM,ca-HepTh,DC,0.0
SpGEMM,ca-HepTh,Database,0.0
SpGEMM,ca-HepTh,Blocked-Dense,10.287712379549449
SpGEMM,ca-HepTh,Blocked-Uniform,-1.0
SpGEMM,ca-HepTh,Blocked-DC,0.0
SpGEMM,ca-HepTh,Blocked-Database,0.0
SpGEMM,web-NotreDame,Dense,1.3510744405468789
SpGEMM,web-NotreDame,Uniform,-0.39476440572024724
SpGEMM,web-NotreDame,DC,0.916671616401104
SpGEMM,web-NotreDame,Database,-0.15200309344504995
SpGEMM,web-NotreDame,Blocked-Dense,1.3510744405468789
SpGEMM,web-NotreDame,Blocked-Uniform,-0.29182353420434365
SpGEMM,web-NotreDame,Blocked-DC,1.2618071024497917
SpGEMM,web-NotreDame,Blocked-Database,0.47189230958444395
SpGEMM2,Diagonal,Dense,5.643856189774724
SpGEMM2,Diagonal,Uniform,-0.028097127441831134
SpGEMM2,Diagonal,DC,0.0
SpGEMM2,Diagonal,Database,0.0
SpGEMM2,Diagonal,Blocked-Dense,5.643856189774724
SpGEMM2,Diagonal,Blocked-Uniform,-0.12647275700604935
SpGEMM2,Diagonal,Blocked-DC,5.643856189774724
SpGEMM2,Diagonal,Blocked-Database,0.0
SpGEMM2,Tridiagonal,Dense,2.8868329432672653
SpGEMM2,Tridiagonal,Uniform,1.4927802544396014
SpGEMM2,Tridiagonal,DC,1.978498930789078
SpGEMM2,Tridiagonal,Database,1.9397682810552155
SpGEMM2,Tridiagonal,Blocked-Dense,2.8868329432672653
SpGEMM2,Tridiagonal,Blocked-Uniform,0.7439209773592548
SpGEMM2,Tridiagonal,Blocked-DC,2.8868329432672653
SpGEMM2,Tridiagonal,Blocked-Database,1.1246248883077576
SpGEMM2,Banded,Dense,0.9323612831246368
SpGEMM2,Banded,Uniform,0.9323098359370479
SpGEMM2,Banded,DC,0.9323612831246368
SpGEMM2,Banded,Database,0.9323612831246368
SpGEMM2,Banded,Blocked-Dense,0.9323612831246368
SpGEMM2,Banded,Blocked-Uniform,0.5986660487306331
SpGEMM2,Banded,Blocked-DC,0.9323612831246368
SpGEMM2,Banded,Blocked-Database,1.1711481427117532
SpGEMM2,Triangular,Dense,0.9714308478032291
SpGEMM2,Triangular,Uniform,0.9714308478032285
SpGEMM2,Triangular,DC,0.9714308478032291
SpGEMM2,Triangular,Database,0.9714308478032291
SpGEMM2,Triangular,Blocked-Dense,0.9714308478032291
